,affiliation,arxiv_url,author,guidislink,id,pdf_url,published,title,updated
0,"Taras Shevchenko National University of Kyiv, Ukraine",http://arxiv.org/abs/1912.12092v1,Kostiantyn A. Shaulskyi,True,http://arxiv.org/abs/1912.12092v1,http://arxiv.org/pdf/1912.12092v1,2019-12-27T13:35:35Z,Bremsstrahlung emission from nuclear reactions in compact stars,2019-12-27T13:35:35Z
1,None,http://arxiv.org/abs/0812.4649v3,Jinn-Ouk Gong,True,http://arxiv.org/abs/0812.4649v3,http://arxiv.org/pdf/0812.4649v3,2008-12-30T20:59:03Z,Towards a warped inflationary brane scanning,2009-08-31T14:52:45Z
2,STScI,http://arxiv.org/abs/0812.5113v1,Claus Leitherer,True,http://arxiv.org/abs/0812.5113v1,http://arxiv.org/pdf/0812.5113v1,2008-12-30T20:38:39Z,"Ultraviolet Spectra of Local Galaxies and their Link with the High-z
  Population",2008-12-30T20:38:39Z
3,Yale,http://arxiv.org/abs/0812.4582v1,A. Kaptur,True,http://arxiv.org/abs/0812.4582v1,http://arxiv.org/pdf/0812.4582v1,2008-12-30T20:20:48Z,Correlated variability in the blazar 3C 454.3,2008-12-30T20:20:48Z
4,University of Massachusetts,http://arxiv.org/abs/0812.5111v1,Mauro Giavalisco,True,http://arxiv.org/abs/0812.5111v1,http://arxiv.org/pdf/0812.5111v1,2008-12-30T20:20:43Z,"Biases and Uncertainties in Physical Parameter Estimates of Lyman Break
  Galaxies from Broad-band Photometry",2008-12-30T20:20:43Z
5,CITA,http://arxiv.org/abs/0812.4574v2,Christopher Thompson,True,http://arxiv.org/abs/0812.4574v2,http://arxiv.org/pdf/0812.4574v2,2008-12-30T20:13:32Z,"Dynamics of a Spherical Accretion Shock with Neutrino Heating and
  Alpha-Particle Recombination",2009-09-20T17:40:01Z
6,None,http://arxiv.org/abs/0812.5108v3,Reza Mansouri,True,http://arxiv.org/abs/0812.5108v3,http://arxiv.org/pdf/0812.5108v3,2008-12-30T19:58:20Z,Asymptotically FRW black holes,2009-08-02T13:35:02Z
7,None,http://arxiv.org/abs/0812.5012v1,Yuan K. Ha,True,http://arxiv.org/abs/0812.5012v1,http://arxiv.org/pdf/0812.5012v1,2008-12-30T19:20:51Z,Quantum Black Holes As Elementary Particles,2008-12-30T19:20:51Z
8,None,http://arxiv.org/abs/0812.4874v2,Jeremy D. Schnittman,True,http://arxiv.org/abs/0812.4874v2,http://arxiv.org/pdf/0812.4874v2,2008-12-30T18:32:51Z,"Reaction of Accretion Disks to Abrupt Mass Loss During Binary Black Hole
  Merger",2009-05-26T20:00:32Z
9,KEK,http://arxiv.org/abs/0812.4851v4,Kunihito Ioka,True,http://arxiv.org/abs/0812.4851v4,http://arxiv.org/pdf/0812.4851v4,2008-12-30T15:50:11Z,"A Gamma-Ray Burst/Pulsar for Cosmic-Ray Positrons with a Dark
  Matter-like Spectrum",2010-06-15T09:07:14Z
10,None,http://arxiv.org/abs/0812.5083v3,A. Tilquin,True,http://arxiv.org/abs/0812.5083v3,http://arxiv.org/pdf/0812.5083v3,2008-12-30T15:37:42Z,"Catastrophic Photo-z Errors and the Dark Energy Parameter Estimates with
  Cosmic Shear",2009-04-28T10:30:18Z
11,None,http://arxiv.org/abs/0812.5078v1,Soren Meibom,True,http://arxiv.org/abs/0812.5078v1,http://arxiv.org/pdf/0812.5078v1,2008-12-30T15:07:10Z,Stellar Ages from Stellar Rotation,2008-12-30T15:07:10Z
12,None,http://arxiv.org/abs/0812.5051v1,Marek J. Sarna,True,http://arxiv.org/abs/0812.5051v1,http://arxiv.org/pdf/0812.5051v1,2008-12-30T11:14:17Z,An Evolutionary Considerations for V228 from 47 Tuc,2008-12-30T11:14:17Z
13,None,http://arxiv.org/abs/0812.5046v1,T. Wiegelmann,True,http://arxiv.org/abs/0812.5046v1,http://arxiv.org/pdf/0812.5046v1,2008-12-30T10:07:48Z,"Source region of the 2003 November 18 CME that led to the strongest
  magnetic storm of cycle 23",2008-12-30T10:07:48Z
14,None,http://arxiv.org/abs/0812.5044v1,Douglas Gough,True,http://arxiv.org/abs/0812.5044v1,http://arxiv.org/pdf/0812.5044v1,2008-12-30T09:56:05Z,Further progress on solar age calibration,2008-12-30T09:56:05Z
